X,Y,Z,Md,Ml,Time,Strike,Dip,Rake
424118.169317,4518108.499342,-3243.000000,3.900000,3.867726,2024-04-27 03:44:56.509999+00:00,37.537500,11.964900,153.903800
427216.106821,4519722.204677,-1778.000000,3.000000,2.654122,2024-04-14 08:01:44.130000+00:00,19.344200,40.391500,-131.211700
427181.718253,4519980.884148,-1732.000000,3.100000,2.938222,2024-04-14 07:46:59.179999+00:00,255.038600,25.542000,-34.031100
427075.427784,4519917.541474,-1840.000000,3.700000,3.166275,2024-04-14 07:44:24.510000+00:00,26.564500,50.671500,-138.999100
425245.744986,4519697.022494,-1780.000000,2.700000,2.409103,2024-04-04 05:14:36.869999+00:00,272.789000,28.612600,-144.553600
425709.856654,4520831.511774,-2324.000000,3.000000,2.457001,2024-02-17 19:22:09.640000+00:00,11.670500,47.123100,-143.416800
426720.539894,4520272.205434,-2007.000000,3.000000,2.664978,2023-11-23 18:41:47.320000+00:00,26.815800,31.117500,-103.597500
427739.125397,4519867.501916,-1586.000000,3.600000,3.018191,2023-10-16 10:36:21.559999+00:00,197.500700,25.515500,-93.765300
427953.761839,4520145.727880,-2146.000000,4.000000,3.535673,2023-10-02 20:08:27.039999+00:00,18.659400,20.234600,-118.480300
428329.548769,4518295.617350,-2701.000000,4.200000,3.785211,2023-09-27 01:35:34.689999+00:00,350.671700,16.108100,61.823100
424843.855852,4517893.147897,-3302.000000,3.300000,3.151102,2023-09-26 07:10:29.859999+00:00,217.502000,31.779400,73.211700
428469.028540,4517873.730242,-2655.000000,2.800000,2.949033,2023-09-24 15:35:02.290000+00:00,170.524200,26.003500,-115.336600
427607.050320,4519969.488578,-1555.000000,3.200000,2.832383,2023-09-22 09:02:00.370000+00:00,248.064300,30.568000,-94.217800
428486.544714,4518071.283853,-2716.000000,2.700000,2.665498,2023-09-20 22:54:29.379999+00:00,108.135400,27.064500,-156.632300
428002.399827,4519875.478774,-1908.000000,3.790000,3.464297,2023-09-07 17:45:29.260000+00:00,277.241100,34.537300,-80.766900
427461.491782,4517373.194985,-3121.000000,1.990000,2.088826,2023-08-19 08:27:18.989999+00:00,301.984200,58.603000,-156.429400
427357.096853,4520029.560400,-1606.000000,3.120000,2.806057,2023-08-18 04:22:50.259999+00:00,237.627400,47.956800,-60.714100
427427.659090,4519984.459532,-1989.000000,3.640000,3.178726,2023-08-18 04:18:05.990000+00:00,85.995700,49.449000,-91.177800
428158.921097,4519815.115595,-1508.000000,3.200000,3.159146,2023-08-18 04:09:59.890000+00:00,220.079700,26.941800,-84.021800
427977.660187,4518877.109225,-63.000000,2.670000,1.244692,2023-08-18 00:01:28.539999+00:00,66.728100,41.146000,-138.470600
427940.497921,4517132.154541,-2901.000000,2.090000,2.161887,2023-08-14 03:18:50.600000+00:00,128.826300,48.563800,-176.831000
425294.406110,4520714.579174,-2315.000000,3.560000,3.078164,2023-06-11 06:44:26.089999+00:00,56.297400,84.213200,136.435500
427046.455198,4519964.011299,-1889.000000,3.480000,2.941709,2023-05-08 02:28:34.710000+00:00,259.084300,25.106100,-76.931500
428474.457360,4518059.965921,-2707.000000,2.630000,2.630028,2023-04-15 05:54:37.509999+00:00,115.969200,34.388800,-135.521900
427347.283691,4520600.959615,-2254.000000,2.920000,2.747437,2023-04-10 03:54:45.880000+00:00,1.044300,23.420000,175.396700
